IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,LVA,Latvia,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.35,,,,,,20.35,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,GRD,Grenada,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.39,,,,,,20.39,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,BLZ,Belize,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.4,,,,,,20.4,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,MEX,Mexico,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.42,,,,,,20.42,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.43,,,,,,20.43,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,SLV,El Salvador,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.43,,,,,,20.43,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,GEO,Georgia,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.46,,,,,,20.46,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.49,,,,,,20.49,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.49,,,,,,20.49,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,CHN,China,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.58,,,,,,20.58,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,MNE,Montenegro,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.59,,,,,,20.59,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.62,,,,,,20.62,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.7,,,,,,20.7,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.71,,,,,,20.71,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.74,,,,,,20.74,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,SRB,Serbia,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.75,,,,,,20.75,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,GTM,Guatemala,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,20.81,,,,,,20.81,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.81,,,,,,20.81,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,BHS,Bahamas,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.88,,,,,,20.88,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.9,,,,,,20.9,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2015,false,Sex,Male,MLE,,,,,,,,,,20.91,,,,,,20.91,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,SVK,Slovakia,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.95,,,,,,20.95,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,ARG,Argentina,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,20.98,,,,,,20.98,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,BRB,Barbados,Year,2015,false,Sex,Male,MLE,,,,,,,,,,21.01,,,,,,21.01,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AFR,Africa,Country,CPV,Cabo Verde,Year,2015,false,Sex,Male,MLE,,,,,,,,,,21.03,,,,,,21.03,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,21.04,,,,,,21.04,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,HRV,Croatia,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,21.05,,,,,,21.05,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,SVN,Slovenia,Year,2015,false,Sex,Male,MLE,,,,,,,,,,21.11,,,,,,21.11,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,UKR,Ukraine,Year,2015,false,Sex,Female,FMLE,,,,,,,,,,21.12,,,,,,21.12,,,EN,2020-12-03T23:00:00.000Z
